sr_no,benchmark,kernel_name,C/M,reg_thread,smem_pblock,no_of_cmpinst,no_of_globinst,no_of_sharinst,miscelleneous,no_of_blocks,threads_pbl,occupancy,power
1,simpleHyperQ,kernel_A,C/M,8,0,8,3,0,0,1,1,0.25,58.029
2,simpleHyperQ,kernel_B,C/M,8,0,8,3,0,0,1,1,0.25,58.029
3,Basic,div,C/M,13,0,13,2,0,0,1024,16,0.25,68.71354
4,Basic,div,C/M,13,0,13,2,0,0,1024,32,0.25,70.67411
5,Basic,div,C/M,13,0,13,2,0,0,512,16,0.25,65.80665
6,Basic,div,C/M,13,0,13,2,0,0,512,32,0.25,66.85619
7,Basic,div,C/M,13,0,13,2,0,0,256,16,0.25,64.32306
8,Basic,div,C/M,13,0,13,2,0,0,256,32,0.25,64.74339
9,Basic,div,C/M,13,0,13,2,0,0,128,16,0.25,63.75511
10,Basic,div,C/M,13,0,13,2,0,0,128,32,0.25,63.93848
11,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1024,16,0.25,69.50112
12,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1024,32,0.25,70.90295
13,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,512,16,0.25,66.20555
14,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,512,32,0.25,67.16311
15,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,256,16,0.25,64.77378
16,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,256,32,0.25,65.18788
17,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,128,16,0.25,63.98408
18,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,128,32,0.25,64.23996
19,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,10240,16,0.25,86.93273
20,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,10240,32,0.25,94.90016
21,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,5120,16,0.25,79.59915
22,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,5120,32,0.25,91.23186
23,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,2560,16,0.25,76.48405
24,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,2560,32,0.25,79.47178
25,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1280,16,0.25,71.01216
26,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1280,32,0.25,73.14479
27,saxpy,Saxpy,M,7,0,14,9,0,0,1024,16,0.25,68.74706
28,saxpy,Saxpy,M,7,0,14,9,0,0,1024,32,0.25,70.28766
29,saxpy,Saxpy,M,7,0,14,9,0,0,512,16,0.25,66.03399
30,saxpy,Saxpy,M,7,0,14,9,0,0,512,32,0.25,67.02265
31,saxpy,Saxpy,M,7,0,14,9,0,0,256,16,0.25,64.70041
32,saxpy,Saxpy,M,7,0,14,9,0,0,256,32,0.25,65.19117
33,saxpy,Saxpy,M,7,0,14,9,0,0,128,16,0.25,63.95304
34,saxpy,Saxpy,M,7,0,14,9,0,0,128,32,0.25,64.21017
35,saxpy,Saxpy,M,7,0,14,9,0,0,10240,16,0.25,87.02831
36,saxpy,Saxpy,M,7,0,14,9,0,0,10240,32,0.25,94.86229
37,saxpy,Saxpy,M,7,0,14,9,0,0,5120,16,0.25,78.84736
38,saxpy,Saxpy,M,7,0,14,9,0,0,5120,32,0.25,91.83992
39,saxpy,Saxpy,M,7,0,14,9,0,0,2560,16,0.25,75.82938
40,saxpy,Saxpy,M,7,0,14,9,0,0,2560,32,0.25,81.49155
41,saxpy,Saxpy,M,7,0,14,9,0,0,1280,16,0.25,70.81298
42,saxpy,Saxpy,M,7,0,14,9,0,0,1280,32,0.25,73.1737
43,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,1024,16,0.25,69.68954
44,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,1024,32,0.25,72.24666
45,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,512,16,0.25,66.6154
46,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,512,32,0.25,67.80617
47,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,256,16,0.25,65.14003
48,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,256,32,0.25,65.59041
49,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,128,16,0.25,64.1026
50,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,128,32,0.25,64.40014
51,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,10240,16,0.25,90.95176
52,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,10240,32,0.25,99.32045
53,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,5120,16,0.25,83.97982
54,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,5120,32,0.25,95.98288
55,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,2560,16,0.25,77.19717
56,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,2560,32,0.25,85.12279
57,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,1280,16,0.25,72.02158
58,Vector Addition,vectorAdd3,M,12,0,16,9,0,0,1280,32,0.25,74.98578
59,branch,branch,C/M,13,0,18,4,0,0,1024,16,0.25,71.38125
60,branch,branch,C/M,13,0,18,4,0,0,1024,32,0.25,74.18546
61,branch,branch,C/M,13,0,18,4,0,0,512,16,0.25,67.19053
62,branch,branch,C/M,13,0,18,4,0,0,512,32,0.25,68.6592
63,branch,branch,C/M,13,0,18,4,0,0,256,16,0.25,65.14157
64,branch,branch,C/M,13,0,18,4,0,0,256,32,0.25,65.67981
65,branch,branch,C/M,13,0,18,4,0,0,128,16,0.25,64.03604
66,branch,branch,C/M,13,0,18,4,0,0,128,32,0.25,64.4113
67,branch,branch,C/M,13,0,18,4,0,0,10240,16,0.25,80.50651
68,branch,branch,C/M,13,0,18,4,0,0,10240,32,0.25,88.8971
69,branch,branch,C/M,13,0,18,4,0,0,5120,16,0.25,77.70559
70,branch,branch,C/M,13,0,18,4,0,0,5120,32,0.25,83.94292
71,branch,branch,C/M,13,0,18,4,0,0,2560,16,0.25,74.8104
72,branch,branch,C/M,13,0,18,4,0,0,2560,32,0.25,78.84255
73,branch,branch,C/M,13,0,18,4,0,0,1280,16,0.25,71.27914
74,branch,branch,C/M,13,0,18,4,0,0,1280,32,0.25,74.72699
75,Vector Operation,vecAddMul,,14,0,20,14,0,0,1024,16,0.25,73.45431
76,Vector Operation,vecAddMul,,14,0,20,14,0,0,1024,32,0.25,76.95863
77,Vector Operation,vecAddMul,,14,0,20,14,0,0,512,16,0.25,68.83765
78,Vector Operation,vecAddMul,,14,0,20,14,0,0,512,32,0.25,70.65018
79,Vector Operation,vecAddMul,,14,0,20,14,0,0,256,16,0.25,66.13497
80,Vector Operation,vecAddMul,,14,0,20,14,0,0,256,32,0.25,67.1289
81,Vector Operation,vecAddMul,,14,0,20,14,0,0,128,16,0.25,64.56524
82,Vector Operation,vecAddMul,,14,0,20,14,0,0,128,32,0.25,65.2621
83,Vector Operation,vecAddMul,,14,0,20,14,0,0,10240,16,0.25,93.2181
84,Vector Operation,vecAddMul,,14,0,20,14,0,0,10240,32,0.25,102.246
85,Vector Operation,vecAddMul,,14,0,20,14,0,0,5120,16,0.25,92.31124
86,Vector Operation,vecAddMul,,14,0,20,14,0,0,5120,32,0.25,100.3942
87,Vector Operation,vecAddMul,,14,0,20,14,0,0,2560,16,0.25,81.58603
88,Vector Operation,vecAddMul,,14,0,20,14,0,0,2560,32,0.25,93.47738
89,Vector Operation,vecAddMul,,14,0,20,14,0,0,1280,16,0.25,76.55017
90,Vector Operation,vecAddMul,,14,0,20,14,0,0,1280,32,0.25,82.32016
91,Pi,gpu_monte_carlo,,35,0,359,79,0,0,16,16,0.25,67.22925
92,Pi,gpu_monte_carlo,,35,0,359,79,0,0,32,32,0.25,66.7765
93,concurrentKernels,clock_block,,8,0,8,3,0,0,1,1,0.25,57
94,basic,oddmult,,17,0,54,31,0,0,1024,16,0.25,77.41016
95,basic,oddmult,,17,0,54,31,0,0,1024,32,0.25,83.77517
96,basic,oddmult,,17,0,54,31,0,0,512,16,0.25,73.1363
97,basic,oddmult,,17,0,54,31,0,0,512,32,0.25,77.31622
98,basic,oddmult,,17,0,54,31,0,0,256,16,0.25,68.42724
99,basic,oddmult,,17,0,54,31,0,0,256,32,0.25,69.78893
100,basic,oddmult,,17,0,54,31,0,0,128,16,0.25,65.93886
101,basic,oddmult,,17,0,54,31,0,0,128,32,0.25,66.69967
102,basic,oddmult,,17,0,54,31,0,0,10240,16,0.25,91.217
103,basic,oddmult,,17,0,54,31,0,0,10240,32,0.25,99.13749
104,basic,oddmult,,17,0,54,31,0,0,5120,16,0.25,91.8291
105,basic,oddmult,,17,0,54,31,0,0,5120,32,0.25,99.13318
106,basic,oddmult,,17,0,54,31,0,0,2560,16,0.25,86.1272
107,basic,oddmult,,17,0,54,31,0,0,2560,32,0.25,95.92677
108,basic,oddmult,,17,0,54,31,0,0,1280,16,0.25,80.49013
109,basic,oddmult,,17,0,54,31,0,0,1280,32,0.25,85.75008
110,cdpSimpleQuicksort,cdp_simple_quicksort,C/M,20,0,93,15,0,0,1,1,0.25,62.244
111,CFD,CFDFlux_193K,C/M,62,0,516,57,0,40,1008,192,0.47,48.121
112,CFD,CFDFlux_97K,C/M,62,0,516,57,0,40,506,192,0.47,74.77
113,CFD,CFDFlux_Missile,C/M,62,0,516,57,0,40,1212,192,0.47,47.596
114,Basic,div,C/M,13,0,13,2,0,0,1024,64,0.5,77.09176
115,Basic,div,C/M,13,0,13,2,0,0,512,64,0.5,69.5961
116,Basic,div,C/M,13,0,13,2,0,0,256,64,0.5,66.23292
117,Basic,div,C/M,13,0,13,2,0,0,128,64,0.5,64.54728
118,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1024,64,0.5,76.91284
119,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,512,64,0.5,70.43985
120,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,256,64,0.5,66.85511
121,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,128,64,0.5,65.05376
122,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,10240,64,0.5,109.0718
123,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,5120,64,0.5,105.4605
124,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,2560,64,0.5,97.11741
125,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1280,64,0.5,80.98334
126,saxpy,Saxpy,M,7,0,14,9,0,0,1024,64,0.5,76.77359
127,saxpy,Saxpy,M,7,0,14,9,0,0,512,64,0.5,69.68123
128,saxpy,Saxpy,M,7,0,14,9,0,0,256,64,0.5,66.64345
129,saxpy,Saxpy,M,7,0,14,9,0,0,128,64,0.5,64.90641
130,saxpy,Saxpy,M,7,0,14,9,0,0,10240,64,0.5,109.6136
131,saxpy,Saxpy,M,7,0,14,9,0,0,5120,64,0.5,105.68
132,saxpy,Saxpy,M,7,0,14,9,0,0,2560,64,0.5,98.71918
133,saxpy,Saxpy,M,7,0,14,9,0,0,1280,64,0.5,80.88561
134,Vector Addition,vectorAdd3,,12,0,16,9,0,0,1024,64,0.5,78.72034
135,Vector Addition,vectorAdd3,,12,0,16,9,0,0,512,64,0.5,71.20216
136,Vector Addition,vectorAdd3,,12,0,16,9,0,0,256,64,0.5,67.59416
137,Vector Addition,vectorAdd3,,12,0,16,9,0,0,128,64,0.5,65.32788
138,Vector Addition,vectorAdd3,,12,0,16,9,0,0,10240,64,0.5,109.0494
139,Vector Addition,vectorAdd3,,12,0,16,9,0,0,5120,64,0.5,106.6347
140,Vector Addition,vectorAdd3,,12,0,16,9,0,0,2560,64,0.5,101.6103
141,Vector Addition,vectorAdd3,,12,0,16,9,0,0,1280,64,0.5,88.77035
142,branch,branch,C/M,13,0,18,4,0,0,1024,64,0.5,83.52955
143,branch,branch,C/M,13,0,18,4,0,0,512,64,0.5,73.49032
144,branch,branch,C/M,13,0,18,4,0,0,256,64,0.5,68.21031
145,branch,branch,C/M,13,0,18,4,0,0,128,64,0.5,65.46426
146,branch,branch,C/M,13,0,18,4,0,0,10240,64,0.5,104.6911
147,branch,branch,C/M,13,0,18,4,0,0,5120,64,0.5,101.2746
148,branch,branch,C/M,13,0,18,4,0,0,2560,64,0.5,93.1803
149,branch,branch,C/M,13,0,18,4,0,0,1280,64,0.5,83.75544
150,Vector Operation,vecAddMul,,14,0,20,14,0,0,1024,64,0.5,90.70013
151,Vector Operation,vecAddMul,,14,0,20,14,0,0,512,64,0.5,76.78073
152,Vector Operation,vecAddMul,,14,0,20,14,0,0,256,64,0.5,70.27043
153,Vector Operation,vecAddMul,,14,0,20,14,0,0,128,64,0.5,66.79145
154,Vector Operation,vecAddMul,,14,0,20,14,0,0,10240,64,0.5,115.9497
155,Vector Operation,vecAddMul,,14,0,20,14,0,0,5120,64,0.5,113.0961
156,Vector Operation,vecAddMul,,14,0,20,14,0,0,2560,64,0.5,107.3582
157,Vector Operation,vecAddMul,,14,0,20,14,0,0,1280,64,0.5,98.74266
158,simpleCUFFT,ComplexPointwiseMulAndScale,C/M,41,0,21,7,0,0,1,64,0.5,63.034
159,Gaussian,GaussF2_1000,C/M,14,0,39,13,0,4,15625,64,0.5,117.5677
160,Gaussian,GaussF2_2048,C/M,14,0,39,13,0,4,65536,64,0.5,118.1786
161,Gaussian,GaussF2_4096,C/M,14,0,39,13,0,4,262144,64,0.5,118.716
162,Pi,gpu_monte_carlo,,35,0,359,79,0,0,64,64,0.5,81.5014
163,Pi,gpu_monte_carlo,,35,0,359,79,0,0,1024,1024,0.5,122.1003
164,basic,oddmult,,17,0,54,31,0,0,1024,64,0.5,101.0493
165,basic,oddmult,,17,0,54,31,0,0,512,64,0.5,90.98843
166,basic,oddmult,,17,0,54,31,0,0,256,64,0.5,76.53403
167,basic,oddmult,,17,0,54,31,0,0,128,64,0.5,69.35899
168,basic,oddmult,,17,0,54,31,0,0,10240,64,0.5,120.2796
169,basic,oddmult,,17,0,54,31,0,0,5120,64,0.5,119.204
170,basic,oddmult,,17,0,54,31,0,0,2560,64,0.5,114.0928
171,basic,oddmult,,17,0,54,31,0,0,1280,64,0.5,107.0059
172,MonteCarloMultiGPU,MonteCarloMultiGpu,,34,0,294,75,0,0,256,520,0.56,198
173,QRNG,quasirandomGenerator,C,40,0,57,1,0,4,128,128,0.75,63.89
174,Pi,gpu_monte_carlo,,35,0,359,79,0,0,256,256,0.75,123.8046
175,Pi,gpu_monte_carlo,,35,0,359,79,0,0,128,128,0.75,119.2023
176,Pi,gpu_monte_carlo,,35,0,359,79,0,0,512,512,0.75,123.8046
177,nbody,bodysystem,C,38,0,2252,15,129,2,52,256,0.75,139.1495
178,BFS,BFSv1_1MW(KernelP4Node),C/M,16,0,38,18,0,8,2500,400,0.81,116.6511
179,BFS,BFSv1_4096(KernelP4Node),C/M,16,0,38,18,0,8,11,400,0.81,62.00705
180,BFS,BFSv1_65536(KernelP4Node),C/M,16,0,38,18,0,8,164,400,0.81,62.91896
181,Gaussian,GaussF2_1000,C/M,14,0,39,13,0,4,1764,576,0.84,99.92654
182,Gaussian,GaussF2_2048,C/M,14,0,39,13,0,4,7396,576,0.84,104.3603
183,Gaussian,GaussF2_4096,C/M,14,0,39,13,0,4,29241,576,0.84,104.7681
184,BFS,BFSv2_1MW (Kernel2),C/M,11,0,15,10,0,3,1667,600,0.89,68.80121
185,BFS,BFSv2_4096 (Kernel2),C/M,11,0,15,10,0,3,7,600,0.89,61.81829
186,BFS,BFSv2_65536 (Kernel2),C/M,11,0,15,10,0,3,110,600,0.89,62.51519
187,CFD,CFDInit_193K,M,16,0,12,7,0,0,1008,192,0.94,78.5481
188,CFD,CFDInit_97K,M,16,0,12,7,0,0,506,192,0.94,68.0969
189,CFD,CFDInit_Missile,M,16,0,12,7,0,0,1212,192,0.94,78.5581
190,NN,euclid,C/M,7,0,19,8,0,2,256,168,0.94,50.7959
191,CFD,CFDComputeStepF_193K,C/M,16,0,34,11,0,0,1008,192,0.94,89.8506
192,CFD,CFDComputeStepF_97K,C/M,16,0,34,11,0,0,506,192,0.94,78.7229
193,CFD,CFDComputeStepF_Missile,C/M,16,0,34,11,0,0,1212,192,0.94,96.0856
194,CFD,CFDTimeStep_193K,M,17,0,37,22,0,0,1008,192,0.94,91.1815
195,CFD,CFDTimeStep_97K,M,17,0,37,22,0,0,506,192,0.94,80.7792
196,CFD,CFDTimeStep_Missile,M,17,0,37,22,0,0,1212,192,0.94,90.35
197,Gaussian,GaussF2_1000,C/M,14,0,39,13,0,4,7056,144,0.94,100.2927
198,Gaussian,GaussF2_2048,C/M,14,0,39,13,0,4,29241,144,0.94,111.1286
199,Gaussian,GaussF2_4096,C/M,14,0,39,13,0,4,116964,144,0.94,111.6003
200,Convolution Text,ConvT_C,M,21,0,55,4,0,2,24576,192,0.94,65.556
201,Convolution Text,ConvT_R,M,22,0,55,4,0,2,24576,192,0.94,64.88
202,sum,sum,C/M,8,0,0,0,0,0,200,1024,1,66.3744
203,SUM,sum,C/M,8,0,0,0,0,0,200,512,1,64.57303
204,SUM,sum,C/M,8,0,0,0,0,0,200,256,1,63.65194
205,SUM,sum,C/M,8,0,0,0,0,0,200,128,1,63.1429
206,SUM,sum,C/M,8,0,0,0,0,0,100,128,1,62.8295
207,SUM,sum,C/M,8,0,0,0,0,0,100,256,1,63.08539
208,SUM,sum,C/M,8,0,0,0,0,0,100,512,1,63.5443
209,SUM,sum,C/M,8,0,0,0,0,0,100,1024,1,64.29243
210,SUM,sum,C/M,8,0,0,0,0,0,256,256,1,63.91257
211,SUM,sum,C/M,8,0,0,0,0,0,512,512,1,67.73822
212,SUM,sum,C/M,8,0,0,0,0,0,1024,1024,1,70.9846
213,SUM,sum,C/M,8,0,0,0,0,0,2048,1024,1,71.8788
214,SUM,sum,C/M,8,0,0,0,0,0,4096,1024,1,72.57419
215,SUM,sum,C/M,8,0,0,0,0,0,8192,1024,1,72.93722
216,Square,square,C/M,8,0,10,4,0,0,200,1024,1,86.76378
217,Square,square,C/M,8,0,10,4,0,0,200,256,1,69.54534
218,Square,square,C/M,8,0,10,4,0,0,200,512,1,76.0073
219,Square,square,C/M,8,0,10,4,0,0,200,128,1,66.2276
220,Square,square,C/M,8,0,10,4,0,0,256,256,1,71.19186
221,Square,square,C/M,8,0,10,4,0,0,512,512,1,93.72037
222,Square,square,C/M,8,0,10,4,0,0,1024,1024,1,102.9485
223,Square,square,C/M,8,0,10,4,0,0,16,1024,1,65.02982
224,Square,square,C/M,8,0,10,4,0,0,32,1024,1,67.3589
225,Square,square,C/M,8,0,10,4,0,0,64,1024,1,71.89879
226,saxpy,Saxpy,M,6,0,11,7,0,2,2000,512,1,65.553
227,saxpy,Saxpy,M,8,0,11,7,0,2,2000,256,1,65.1303
228,saxpy,Saxpy,M,8,0,11,7,0,2,2000,128,1,64.49651
229,saxpy,Saxpy,M,8,0,11,7,0,2,4000,256,1,64.28889
230,saxpy,Saxpy,M,8,0,11,7,0,2,4000,128,1,65.57759
231,saxpy,Saxpy,M,8,0,11,7,0,2,1000,256,1,64.33803
232,saxpy,Saxpy,M,8,0,11,7,0,2,1000,128,1,63.65926
233,saxpy,Saxpy,M,8,0,11,7,0,2,1000,512,1,64.15016
234,saxpy,Saxpy,M,8,0,11,7,0,2,2000,512,1,65.57889
235,saxpy,Saxpy,M,8,0,11,7,0,2,1500,512,1,65.38497
236,saxpy,Saxpy,M,8,0,11,7,0,2,1500,256,1,65.07253
237,saxpy,Saxpy,M,8,0,11,7,0,2,1500,128,1,63.7159
238,Transpose,Tpose0_simple copy,M,0,0,12,5,0,0,16384,256,1,108.5171
